- Detailed performance results:
   gamma  cost     error   dispersion
1  1e-06 1e+00 0.3262654 0.0032521588
2  1e-05 1e+00 0.3262654 0.0032521588
3  1e-04 1e+00 0.3262654 0.0032521588
4  1e-03 1e+00 0.3266533 0.0026295915
5  1e-02 1e+00 0.3168270 0.0044163066
6  1e-01 1e+00 0.2933612 0.0044904695
7  1e-06 1e+01 0.3262654 0.0032521588
8  1e-05 1e+01 0.3262654 0.0032521588
9  1e-04 1e+01 0.3262654 0.0032521588
10 1e-03 1e+01 0.3245201 0.0026526254
11 1e-02 1e+01 0.2978213 0.0024940224
12 1e-01 1e+01 0.3165040 0.0092148125
13 1e-06 1e+02 0.3262654 0.0032521588
14 1e-05 1e+02 0.3262654 0.0032521588
15 1e-04 1e+02 0.3270412 0.0028137816
16 1e-03 1e+02 0.3174734 0.0045468821
17 1e-02 1e+02 0.3015710 0.0059792557
18 1e-01 1e+02 0.3284635 0.0083018782
19 1e-06 1e+03 0.3262654 0.0032521588
20 1e-05 1e+03 0.3270412 0.0031040953
21 1e-04 1e+03 0.3230978 0.0006914915
22 1e-03 1e+03 0.3007950 0.0019424724
23 1e-02 1e+03 0.3214177 0.0103237470
24 1e-01 1e+03 0.3313080 0.0089246020
25 1e-06 1e+04 0.3269765 0.0031033967
26 1e-05 1e+04 0.3274290 0.0028227577
27 1e-04 1e+04 0.3157280 0.0039093495
28 1e-03 1e+04 0.3037043 0.0027280366
29 1e-02 1e+04 0.3479863 0.0067886004
30 1e-01 1e+04 0.3363504 0.0096282567
31 1e-06 1e+05 0.3264594 0.0021347691
32 1e-05 1e+05 0.3213522 0.0023976429
33 1e-04 1e+05 0.3019588 0.0004174800
34 1e-03 1e+05 0.3134654 0.0043401611
35 1e-02 1e+05 0.3600748 0.0058025338
36 1e-01 1e+05 0.3499907 0.0122304423
